https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1616889600,2021-03-28 00:00:00,LTC/USDT,184.24406,187.1311418,180.0583,184.2402134,1079189.4781785,5861.82517716
1616803909,2021-03-27 00:11:49,LTC/USDT,184.0298702,184.0298702,184.0298702,184.0298702,0.0,0.0
1616803200,2021-03-27 00:00:00,LTC/USDT,183.6835,186.0,177.7,184.0298702,1072220.18931837,5871.53588717
1616717455,2021-03-26 00:10:55,LTC/USDT,183.46502023,183.46502023,183.46502023,183.46502023,0.0,0.0
1616716800,2021-03-26 00:00:00,LTC/USDT,171.59541295,183.71970844,171.56041581,183.46502023,2058603.64243543,11508.51777516
1616631245,2021-03-25 00:14:05,LTC/USDT,171.74858,171.74858,171.74858,171.74858,0.0,0.0
1616630400,2021-03-25 00:00:00,LTC/USDT,176.0,178.38889158,168.150672,171.74858,3742790.81387291,21572.87053038
1616544841,2021-03-24 00:14:01,LTC/USDT,176.03871606,176.03871606,176.03871606,176.03871606,0.0,0.0
1616544000,2021-03-24 00:00:00,LTC/USDT,185.72717632,196.99555314,172.53080303,176.03871606,3362800.79565179,17780.25068748
1616458300,2021-03-23 00:11:40,LTC/USDT,185.79191221,185.79191221,185.79191221,185.79191221,0.0,0.0
1616457600,2021-03-23 00:00:00,LTC/USDT,185.5700713,189.37750705,181.28571428,185.79191221,2884867.42230425,15495.83313974
1616371924,2021-03-22 00:12:04,LTC/USDT,185.67071952,185.67071952,185.67071952,185.67071952,0.0,0.0
1616371200,2021-03-22 00:00:00,LTC/USDT,195.6018104,198.7858,184.62350001,185.67071952,2484556.63092079,12897.98188019
1616285472,2021-03-21 00:11:12,LTC/USDT,195.38263439,195.38263439,195.38263439,195.38263439,0.0,0.0
1616284800,2021-03-21 00:00:00,LTC/USDT,199.99407327,201.72432355,192.43092417,195.38263439,2246419.35187521,11447.36689785
1616199105,2021-03-20 00:11:45,LTC/USDT,200.1556402,200.1556402,200.1556402,200.1556402,0.0,0.0
1616198400,2021-03-20 00:00:00,LTC/USDT,200.00317166,206.02880191,198.94481189,200.1556402,2013462.79395391,9911.08653495
1616112680,2021-03-19 00:11:20,LTC/USDT,200.07255359,200.07255359,200.07255359,200.07255359,0.0,0.0
1616112000,2021-03-19 00:00:00,LTC/USDT,199.80009487,205.0,195.89410071,200.07255359,2198660.82713221,10902.36725153
1616026305,2021-03-18 00:11:45,LTC/USDT,199.86916418,199.86916418,199.86916418,199.86916418,0.0,0.0
1616025600,2021-03-18 00:00:00,LTC/USDT,206.05719931,208.0,199.33118218,199.86916418,1209461.89897449,5906.8018753
1615940035,2021-03-17 00:13:55,LTC/USDT,206.04154185,206.04154185,206.04154185,206.04154185,0.0,0.0
1615939200,2021-03-17 00:00:00,LTC/USDT,201.60354585,206.76681262,194.326,206.04154185,9367394.07297136,46859.0673474
1615853521,2021-03-16 00:12:01,LTC/USDT,201.54320537,201.54320537,201.54320537,201.54320537,0.0,0.0
1615852800,2021-03-16 00:00:00,LTC/USDT,200.69264592,205.15055443,191.5,201.54320537,3851813.26279064,19347.53349748
1615767107,2021-03-15 00:11:47,LTC/USDT,200.56534366,200.56534366,200.56534366,200.56534366,0.0,0.0
1615766400,2021-03-15 00:00:00,LTC/USDT,214.0,222.52618456,197.5722,200.56534366,7028861.81858491,33783.58510091
1615680706,2021-03-14 00:11:46,LTC/USDT,214.0697,214.0697,214.0697,214.0697,0.0,0.0
1615680000,2021-03-14 00:00:00,LTC/USDT,226.03,227.95349155,214.0,214.0697,2522210.81811612,11493.72920003
1615594296,2021-03-13 00:11:36,LTC/USDT,226.23649677,226.23649677,226.23649677,226.23649677,0.0,0.0
