https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1613434239,2021-02-16 00:10:39,XRP/USDT,0.5194315,0.5194315,0.5194315,0.5194315,0.0,0.0
1613433600,2021-02-16 00:00:00,XRP/USDT,0.54987671,0.58137409,0.48,0.5194315,11798294.80828678,22074128.70709943
1613347866,2021-02-15 00:11:06,XRP/USDT,0.54920639,0.54920639,0.54920639,0.54920639,0.0,0.0
1613347200,2021-02-15 00:00:00,XRP/USDT,0.5928,0.60431773,0.511,0.54920639,11858349.52718719,21280551.79852804
1613261582,2021-02-14 00:13:02,XRP/USDT,0.5914872,0.5914872,0.5914872,0.5914872,0.0,0.0
1613260800,2021-02-14 00:00:00,XRP/USDT,0.63313171,0.639,0.562,0.5914872,10232209.86242488,17029833.01797665
1613175256,2021-02-13 00:14:16,XRP/USDT,0.63301205,0.63301205,0.63301205,0.63301205,0.0,0.0
1613174400,2021-02-13 00:00:00,XRP/USDT,0.60898271,0.64195948,0.54169049,0.63301205,18504020.39045147,30628747.56555103
1613088749,2021-02-12 00:12:29,XRP/USDT,0.60897054,0.60897054,0.60897054,0.60897054,0.0,0.0
1613088000,2021-02-12 00:00:00,XRP/USDT,0.52884715,0.619,0.51918595,0.60897054,13028102.87163468,22704753.02179275
1613002271,2021-02-11 00:11:11,XRP/USDT,0.52817254,0.52817254,0.52817254,0.52817254,0.0,0.0
1613001600,2021-02-11 00:00:00,XRP/USDT,0.50487158,0.53594844,0.50022333,0.52817254,7656715.90169429,14726868.27743597
1612916953,2021-02-10 00:29:13,XRP/USDT,0.504784,0.504784,0.504784,0.504784,0.0,0.0
1612915200,2021-02-10 00:00:00,XRP/USDT,0.47679593,0.541658,0.451,0.504784,17145836.65293731,34362083.31032079
1612829488,2021-02-09 00:11:28,XRP/USDT,0.476191,0.476191,0.476191,0.476191,0.0,0.0
1612828800,2021-02-09 00:00:00,XRP/USDT,0.45150189,0.4896489,0.44966101,0.476191,8226529.13464861,17592624.15326878
1612743204,2021-02-08 00:13:24,XRP/USDT,0.45079304,0.45079304,0.45079304,0.45079304,0.0,0.0
1612742400,2021-02-08 00:00:00,XRP/USDT,0.4179673,0.46835928,0.41280734,0.45079304,6158980.81166212,14016831.40792083
1612657025,2021-02-07 00:17:05,XRP/USDT,0.41873388,0.41873388,0.41873388,0.41873388,0.0,0.0
1612656000,2021-02-07 00:00:00,XRP/USDT,0.44395052,0.45040236,0.39431187,0.41873388,5285593.52454106,12456270.20423101
1612570626,2021-02-06 00:17:06,XRP/USDT,0.44297287,0.44297287,0.44297287,0.44297287,0.0,0.0
1612569600,2021-02-06 00:00:00,XRP/USDT,0.45128984,0.45670356,0.42662135,0.44297287,5478982.1474552,12447103.63687275
1612484026,2021-02-05 00:13:46,XRP/USDT,0.4512,0.4512,0.4512,0.4512,0.0,0.0
1612483200,2021-02-05 00:00:00,XRP/USDT,0.446028,0.47150299,0.42162142,0.4512,6969336.03081908,15657831.86487513
1612397815,2021-02-04 00:16:55,XRP/USDT,0.445,0.445,0.445,0.445,0.0,0.0
1612396800,2021-02-04 00:00:00,XRP/USDT,0.3972,0.4805,0.38000842,0.445,12867201.73333589,30448605.50371325
1612312082,2021-02-03 00:28:02,XRP/USDT,0.3972,0.3972,0.3972,0.3972,0.0,0.0
1612310400,2021-02-03 00:00:00,XRP/USDT,0.3737,0.41916,0.37315774,0.3972,5729057.73786834,14714793.80389588
1612224678,2021-02-02 00:11:18,XRP/USDT,0.37228645,0.37228645,0.37228645,0.37228645,0.0,0.0
1612224000,2021-02-02 00:00:00,XRP/USDT,0.3712072,0.41134732,0.3401,0.37228645,8684422.05921291,23184517.21710542
1612138414,2021-02-01 00:13:34,XRP/USDT,0.37172367,0.37172367,0.37172367,0.37172367,0.0,0.0
1612137600,2021-02-01 00:00:00,XRP/USDT,0.495,0.7547,0.36,0.37172367,54710945.08932963,103220333.55158131
1612052225,2021-01-31 00:17:05,XRP/USDT,0.495,0.495,0.495,0.495,0.0,0.0
1612051200,2021-01-31 00:00:00,XRP/USDT,0.44399999,0.50882713,0.3875,0.495,27800762.59799064,60851368.33530463
1611965760,2021-01-30 00:16:00,XRP/USDT,0.44248427,0.44248427,0.44248427,0.44248427,0.0,0.0
1611964800,2021-01-30 00:00:00,XRP/USDT,0.28290001,0.5171,0.2784,0.44248427,36141430.49518083,92177762.10692748
1611879212,2021-01-29 00:13:32,XRP/USDT,0.2835,0.2835,0.2835,0.2835,0.0,0.0
1611878400,2021-01-29 00:00:00,XRP/USDT,0.26459167,0.316,0.2601,0.2835,8777175.27345817,30852232.51904646
1611792821,2021-01-28 00:13:41,XRP/USDT,0.26435183,0.26435183,0.26435183,0.26435183,0.0,0.0
1611792000,2021-01-28 00:00:00,XRP/USDT,0.25089998,0.26978717,0.247416,0.26435183,1558718.2681344,6003820.58795624
1611707807,2021-01-27 00:36:47,XRP/USDT,0.25068034,0.25068034,0.25068034,0.25068034,0.0,0.0
1611705600,2021-01-27 00:00:00,XRP/USDT,0.26850558,0.26850558,0.2443846,0.25068034,1673818.13013001,6605299.7847779
1611619968,2021-01-26 00:12:48,XRP/USDT,0.26849667,0.26849667,0.26849667,0.26849667,0.0,0.0
1611619200,2021-01-26 00:00:00,XRP/USDT,0.2676,0.27099999,0.25820465,0.26849667,1346523.93393097,5073184.15168212
1611532800,2021-01-25 00:00:00,XRP/USDT,0.27325731,0.28488028,0.267,0.26761304,1690546.12266086,6126493.59579366
1611446400,2021-01-24 00:00:00,XRP/USDT,0.2706,0.2779,0.26837883,0.27324057,1515375.69531593,5543871.1495035
1611360000,2021-01-23 00:00:00,XRP/USDT,0.27193007,0.2832,0.26561934,0.27119189,1911277.37097152,7007576.46341084
1611273600,2021-01-22 00:00:00,XRP/USDT,0.26807022,0.27792801,0.24066199,0.2727097,2644378.15358754,10129900.59508403
1611187200,2021-01-21 00:00:00,XRP/USDT,0.29540511,0.30906,0.26,0.26807122,4358010.12381049,15500449.68508628
1611100800,2021-01-20 00:00:00,XRP/USDT,0.29418829,0.31155585,0.28066754,0.29528903,2763028.96499736,9489074.12307589
1611014400,2021-01-19 00:00:00,XRP/USDT,0.2854492,0.3289044,0.28396342,0.29441369,5281677.90608135,17430823.34470119
1610928000,2021-01-18 00:00:00,XRP/USDT,0.2777662,0.2885078,0.2718548,0.28544922,1981936.66154563,7023402.61109673
1610841600,2021-01-17 00:00:00,XRP/USDT,0.2794545,0.28570001,0.269,0.27744126,2731807.27620851,9813523.54995532
1610755200,2021-01-16 00:00:00,XRP/USDT,0.28010462,0.29659795,0.2757,0.2794545,1965694.5103468,6887064.48312408
1610668800,2021-01-15 00:00:00,XRP/USDT,0.2966112,0.303,0.26235137,0.27991402,3768148.2882351,13394895.4283323
1610582400,2021-01-14 00:00:00,XRP/USDT,0.3063641,0.30866,0.28202751,0.2966,3802146.0941992,12858618.51624115
1610496000,2021-01-13 00:00:00,XRP/USDT,0.29232522,0.3097831,0.285,0.30554562,2487077.01805231,8341166.65452877
1610409600,2021-01-12 00:00:00,XRP/USDT,0.2873066,0.30925925,0.27789599,0.29291826,4531741.48554329,15358069.03852078
1610323200,2021-01-11 00:00:00,XRP/USDT,0.3146088,0.3157423,0.25459999,0.28721537,8623235.47216122,30891106.39162151
1610236800,2021-01-10 00:00:00,XRP/USDT,0.32586155,0.3686,0.29249999,0.31569293,9425717.88156375,28638343.93010551
1610150400,2021-01-09 00:00:00,XRP/USDT,0.32176586,0.33928305,0.30589999,0.32556845,6638944.13589645,20582747.01382329
1610064000,2021-01-08 00:00:00,XRP/USDT,0.32354863,0.34598272,0.28587072,0.32108136,7838821.56905965,24907998.90735203
1609977600,2021-01-07 00:00:00,XRP/USDT,0.2489216,0.36944887,0.245879,0.32329999,20185359.19611944,63726981.44211492
1609891200,2021-01-06 00:00:00,XRP/USDT,0.22569999,0.27368635,0.22171112,0.2489226,6732060.42584724,27804956.78388937
1609804800,2021-01-05 00:00:00,XRP/USDT,0.23687334,0.2425,0.217,0.2256,3141418.3863562,13742379.04032487
